epoch,loss,CER
0,123.0,97.11
1,3.71,97.11
2,3.45,97.11
3,3.37,97.11
4,3.38,97.11
5,3.44,97.11
6,3.34,97.11
7,3.22,97.11
8,3.24,97.11
9,3.25,97.11
10,3.13,97.11
11,3.12,97.11
12,3.04,97.11
13,3.02,97.11
14,2.95,97.11
15,2.91,97.11
16,2.82,97.11
17,2.71,97.11
18,2.72,97.11
19,2.6,97.11
