epoch,loss,CER
0,128.0,96.44
1,3.57,96.44
2,3.47,96.44
3,3.39,96.44
4,3.26,96.44
5,3.15,96.44
6,3.06,96.44
7,3.01,96.44
8,2.95,96.44
9,2.68,96.44
10,2.35,90.93
11,1.99,85.62
12,1.71,51.24
13,1.59,41.79
14,1.51,36.7
15,1.34,34.05
16,1.25,30.46
17,1.14,28.52
18,1.08,28.36
19,0.978,27.19
