epoch,loss,CER
0,122.0,99.75632
1,3.6,
2,3.36,
3,3.36,
4,3.38,
5,3.25,
6,3.25,
7,3.11,
8,3.1,
9,3.2,
10,3.03,
11,3.02,
12,2.87,
13,2.67,
14,2.48,93.81923
15,2.22,90.65131
16,2.02,87.70492
17,1.82,80.72663
18,1.73,79.81834
19,1.69,78.82144
