epoch,loss,CER
0,130.0,95.9
1,3.59,95.9
2,3.51,95.9
3,3.28,95.9
4,3.09,95.9
5,2.97,95.9
6,2.75,95.9
7,2.34,92.26
8,2.02,80.5
9,1.93,55.8
10,1.76,45.48
11,1.84,45.48
12,1.76,45.48
13,1.61,45.48
14,1.45,36.59
15,1.38,36.59
16,1.38,34.33
17,1.18,31.19
18,1.15,30.61
19,1.18,29.68
