lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,1919,,15,,,,,,51.76268005371094,38.818912506103516,0.7158097624778748,12.227957725524902,,,,,
0.0003461460113097139,1920,,,,,,,,,,,,,,,,
,1949,1.3984615802764893,16,,,,,,,,,,,,,,
,1999,1.4962384700775146,16,,,,,,,,,,,,,,
,2039,,16,1.2348124980926514,37.59415054321289,20.491804122924805,2.0824103355407715,15.019937515258789,,,,,,,,,
,2039,,16,,,,,,50.275421142578125,36.79354476928711,0.7601630687713623,12.72171401977539,,,,,
0.00020690126647990976,2040,,,,,,,,,,,,,,,,
,2049,1.3557884693145752,17,,,,,,,,,,,,,,
,2099,1.304619550704956,17,,,,,,,,,,,,,,
,2149,1.2393591403961182,17,,,,,,,,,,,,,,
,2159,,17,1.2255600690841675,37.10677719116211,20.248117446899414,1.860877275466919,14.997784614562988,,,,,,,,,
,2159,,17,,,,,,48.71572494506836,35.547935485839844,0.7905356287956238,12.377253532409668,,,,,
9.639601130971382e-05,2160,,,,,,,,,,,,,,,,
,2199,1.3340187072753906,18,,,,,,,,,,,,,,
,2249,1.2184208631515503,18,,,,,,,,,,,,,,
,2279,,18,1.1847440004348755,38.01506423950195,22.707134246826172,1.6614975929260254,13.646432876586914,,,,,,,,,
,2279,,18,,,,,,47.948490142822266,34.98106002807617,0.8291440010070801,12.138282775878906,,,,,
2.5447270110570814e-05,2280,,,,,,,,,,,,,,,,
,2299,1.2885141372680664,19,,,,,,,,,,,,,,
,2349,1.187861680984497,19,,,,,,,,,,,,,,
,2399,1.2180466651916504,19,,,,,,,,,,,,,,
,2399,,19,1.1672754287719727,37.43907928466797,22.618520736694336,1.6836508512496948,13.136907577514648,,,,,,,,,
,2399,,19,,,,,,47.39907455444336,34.35451889038086,0.8825797438621521,12.161975860595703,,,,,
,2400,,20,1.2255600690841675,37.10677719116211,20.248117446899414,1.860877275466919,14.997784614562988,,,,,,,,,
,2400,,20,,,,,,,,,,1.2328848838806152,36.6976432800293,17.67884063720703,1.404797911643982,17.614004135131836
