epoch,loss,CER
0,169.0,100.02216
1,3.47,100.0
2,3.32,
3,3.49,
4,3.74,
5,3.31,
6,3.36,
7,3.25,
8,3.31,
9,3.21,
10,3.14,
11,3.23,
12,3.14,
13,3.1,
14,2.79,
15,2.63,93.59769
16,2.44,88.10368
17,2.24,78.24546
18,2.09,75.58706
19,2.01,72.26407
