epoch,loss,CER
0,127.0,97.446144
1,3.81,
2,3.42,
3,3.31,
4,3.42,
5,3.41,
6,3.26,
7,3.28,
8,3.22,
9,3.19,
10,3.18,
11,3.36,
12,3.28,
13,3.22,
14,3.09,
15,3.08,
16,3.13,
17,3.07,
18,3.07,
19,2.96,
