epoch,loss,CER
0,152.0,95.79087
1,3.56,
2,3.53,
3,3.43,
4,3.29,
5,3.34,
6,3.19,
7,3.15,
8,3.17,
9,2.99,
10,2.95,
11,2.76,89.34426
12,2.23,84.27116
13,1.94,55.42756
14,1.57,42.84448
15,1.42,40.05317
16,1.31,37.46123
17,1.1,31.78999
18,1.06,31.10324
19,1.01,29.46389
