epoch,loss,CER
0,114.0,100.0
1,3.53,
2,3.41,
3,3.38,
4,3.3,
5,3.25,
6,3.1,
7,3.17,
8,2.98,
9,3.03,
10,2.85,
11,2.55,
12,2.2,88.43597
13,2.09,87.30616
14,1.82,82.2552
15,1.65,67.27957
16,1.55,49.55693
17,1.33,39.34426
18,1.24,36.06557
19,1.22,34.29331
