epoch,loss,CER
0,131.0,108.21887
1,3.56,100.0
2,3.39,
3,3.31,
4,3.2,
5,3.17,
6,3.29,
7,3.1,
8,3.08,
9,2.84,
10,2.62,96.83208
11,2.19,88.43597
12,1.92,82.38812
13,1.65,50.50953
14,1.56,45.39211
15,1.38,37.99291
16,1.2,32.76473
17,1.06,30.12849
18,1.02,28.59991
19,0.995,27.31502
