epoch,loss,CER
0,122.0,1358.21887
1,3.43,100.0
2,3.25,
3,3.21,
4,3.19,
5,3.04,
6,3.0,
7,2.91,
8,2.94,
9,2.69,99.82278
10,2.51,96.16748
11,2.33,89.03412
12,2.25,81.9229
13,2.05,
14,1.98,75.96367
15,1.87,73.68188
16,1.81,68.36509
17,1.71,66.17191
18,1.68,65.26363
19,1.66,64.44395
